objID,u,r,i,g,z,finalredshift
1.23765E+18,18.73031,16.07619,15.69624,16.92396,15.39467,0.06035833
1.23767E+18,19.0178,16.22919,15.81057,17.14194,15.46483,0.06066807
1.23767E+18,18.79655,16.23791,15.86583,17.046,15.56582,0.0617091
1.23765E+18,18.32692,15.82185,15.40139,16.6465,15.06009,0.06206989
1.23765E+18,18.70879,16.09038,15.70497,16.90718,15.40131,0.0626367
1.23767E+18,18.95098,15.98237,15.55242,16.89834,15.22031,0.06563144
1.23767E+18,18.30145,15.51503,15.1083,16.42655,14.79561,0.0764087
1.23765E+18,19.76724,16.78088,16.35669,17.74265,16.01927,0.07673916
1.23765E+18,18.01265,15.223,14.81275,16.12985,14.48419,0.07698749
1.23765E+18,19.4156,16.45372,16.02542,17.39477,15.69974,0.07723518
1.23767E+18,18.99996,16.25967,15.83637,17.1658,15.54778,0.07731517
1.23765E+18,18.40487,15.75376,15.31119,16.63045,14.98012,0.07740269
1.23767E+18,19.13166,16.19407,15.78335,17.08706,15.47131,0.07743748
1.23767E+18,19.46703,16.44042,15.99994,17.40245,15.6491,0.07745789
1.23765E+18,18.00587,15.0431,14.58959,16.0048,14.23966,0.07746531
1.23767E+18,19.00507,15.97367,15.48353,16.9553,15.09882,0.07755706
1.23765E+18,19.02378,16.13769,15.68861,17.08384,15.36393,0.07765477
1.23767E+18,19.02733,16.24863,15.82558,17.18228,15.49946,0.07770932
1.23767E+18,20.29397,17.4873,17.02095,18.35069,16.69624,0.07792728
1.23765E+18,18.62153,15.82913,15.41679,16.72229,15.06824,0.07795306
1.23765E+18,18.84376,16.06921,15.6477,16.98586,15.33254,0.07797883
1.23765E+18,18.06393,16.16535,15.74095,16.77441,15.51894,0.07802294
1.23765E+18,19.08102,16.25916,15.74998,17.19181,15.39484,0.07826652
1.23767E+18,19.98389,17.13221,16.73818,18.00048,16.40828,0.07829393
1.23767E+18,18.96502,16.14221,15.73375,17.03611,15.42225,0.07848636
1.23767E+18,18.88621,16.14892,15.72968,16.99863,15.43025,0.07850792
1.23765E+18,18.65273,15.79094,15.38455,16.67061,15.10817,0.07850849
1.23765E+18,18.81319,15.78901,15.37899,16.73932,15.03727,0.0785328
1.23767E+18,19.088,16.258,15.8115,17.15611,15.456,0.0786062
1.23765E+18,19.28826,16.15441,15.75247,17.0738,15.46884,0.07909217
1.23767E+18,19.01708,16.07704,15.63097,17.02759,15.27006,0.07976266
1.23765E+18,18.5003,15.90921,15.52969,16.75734,15.21604,0.07988428
1.23765E+18,19.29103,16.57959,16.10045,17.51435,15.74404,0.08026797
1.23765E+18,19.95892,17.03649,16.61989,17.96223,16.28059,0.0803973
1.23765E+18,18.47885,15.48277,15.03985,16.43985,14.69474,0.08050773
1.23767E+18,20.55457,17.74524,17.30341,18.6734,17.01734,0.08062554
1.23765E+18,19.67163,16.92889,16.52777,17.8348,16.21548,0.0807986
1.23765E+18,19.5569,16.73542,16.30517,17.67873,15.9779,0.08103441
1.23765E+18,17.96638,14.9813,14.53715,15.95568,14.18363,0.08124281
1.23765E+18,19.06605,16.24429,15.8093,17.17739,15.46751,0.08147936
1.23765E+18,19.09122,16.1232,15.71519,17.06855,15.34071,0.0816094
1.23765E+18,18.68775,15.90634,15.42296,16.85311,15.06543,0.08165723
1.23767E+18,19.40029,16.46307,16.04705,17.42026,15.70894,0.08175502
1.23765E+18,19.4606,16.52113,16.09818,17.4721,15.77304,0.08188177
1.23765E+18,17.9466,15.26299,14.85332,16.14874,14.56401,0.08189387
1.23767E+18,18.40161,15.45212,15.01493,16.40783,14.65723,0.08192924
1.23765E+18,19.37717,16.66917,16.21968,17.57997,15.87863,0.08216152
1.23765E+18,18.04593,15.7835,15.34532,16.52604,15.02806,0.08266269
1.23767E+18,20.21412,17.30952,16.86958,18.2531,16.51164,0.08312489
1.23765E+18,19.88767,17.0904,16.70033,17.96338,16.4135,0.08323594
1.23765E+18,19.93732,17.12039,16.63076,18.15646,16.25977,0.08381765
1.23765E+18,19.3272,16.33996,15.90287,17.31053,15.54023,0.08400331
1.23767E+18,19.89984,17.28735,16.79545,18.21943,16.41634,0.08410374
1.23767E+18,20.03093,17.25456,16.83792,18.18266,16.51017,0.08435579
1.23765E+18,19.00338,16.17755,15.77007,17.07707,15.44119,0.08476318
1.23765E+18,20.02348,17.28378,16.90218,18.2029,16.54949,0.08490854
1.23767E+18,18.73553,15.92397,15.3986,16.83821,15.04706,0.08509616
1.23767E+18,18.24487,15.38956,14.96323,16.31283,14.68069,0.08527029
1.23765E+18,19.08097,16.03858,15.60562,16.97867,15.27561,0.0855497
1.23765E+18,19.50043,16.67795,16.23649,17.63478,15.87566,0.0857684
1.23765E+18,19.86133,16.90679,16.47931,17.87453,16.10444,0.08656619
1.23767E+18,18.53341,15.40306,14.97038,16.45227,14.60351,0.09243958
1.23767E+18,18.85728,15.87606,15.44092,16.84245,15.07524,0.09395093
1.23765E+18,19.76196,16.65547,16.20892,17.65461,15.8475,0.09397519
1.23767E+18,19.17602,16.36161,15.94698,17.31617,15.60241,0.09409438
1.23765E+18,19.76433,16.4317,15.93675,17.53522,15.52497,0.09409562
1.23767E+18,20.26931,17.42555,16.99549,18.31934,16.69897,0.09436972
1.23767E+18,19.82659,16.89634,16.36429,17.80525,16.0158,0.09491483
1.23767E+18,19.19097,16.57178,16.21829,17.41744,15.9202,0.09527272
1.23767E+18,19.43625,16.39653,15.96333,17.3932,15.62409,0.09539797
1.23767E+18,19.81528,16.8727,16.46332,17.8351,16.1341,0.09558997
1.23767E+18,19.42996,17.29695,16.89937,17.936,16.65669,0.09700327
1.23767E+18,19.53875,16.50995,16.03334,17.53898,15.67245,0.0985812
1.23767E+18,19.87186,16.98794,16.52211,17.99832,16.13522,0.09901275
1.23765E+18,19.42961,16.47305,16.05398,17.47423,15.69512,0.1018424
1.23767E+18,20.35408,17.97304,17.5746,18.6852,17.30155,0.1024405
1.23765E+18,19.02739,16.27264,15.8399,17.1735,15.52548,0.1029183
1.23767E+18,20.11332,17.43545,17.0318,18.38045,16.69519,0.1032288
1.23765E+18,19.74415,16.99294,16.50989,17.94677,16.11959,0.1038899
1.23767E+18,21.50596,18.39211,17.94153,19.39524,17.52605,0.1043577
1.23765E+18,19.4206,16.43345,15.9979,17.44215,15.61856,0.1043807
1.23765E+18,19.97367,17.17517,16.63025,18.18896,16.24813,0.1044149
1.23767E+18,20.11062,17.38294,16.9605,18.34753,16.62543,0.10483
1.23765E+18,19.32931,16.43894,15.99828,17.40617,15.64796,0.1050387
1.23765E+18,19.38721,16.51007,16.0798,17.48886,15.71995,0.1050408
1.23765E+18,20.60697,17.61054,17.19572,18.59653,16.85587,0.1050725
1.23767E+18,19.96953,16.90502,16.47756,17.92871,16.0851,0.105237
1.23765E+18,20.02116,17.08841,16.64123,18.06896,16.30938,0.1055758
1.23767E+18,20.83426,17.58353,17.1678,18.55733,16.83373,0.1056141
